source_ip,destination_ip,destination_port,protocol,bytes_in,bytes_out,action,timestamp,connection_count,label,request_uri,user_agent
192.168.3.148,192.168.5.145,53,UDP,726,51,ALLOW,2025-09-28T01:49:30.700834Z,5,normal,,
192.168.8.49,192.168.10.252,53,TCP,861,440,ALLOW,2025-09-26T18:18:16.700834Z,1,normal,,
192.168.2.25,192.168.10.73,80,UDP,4257,499,ALLOW,2025-09-26T11:15:45.700834Z,3,normal,,
192.168.1.163,192.168.9.125,443,TCP,2451,763,ALLOW,2025-09-25T17:41:16.700834Z,3,normal,,
192.168.10.198,192.168.4.160,443,TCP,622,256,ALLOW,2025-09-28T22:06:07.700834Z,4,normal,,
192.168.3.42,192.168.10.157,53,TCP,458,458,ALLOW,2025-09-26T05:56:55.700834Z,1,normal,,
41.179.109.88,192.168.5.121,443,TCP,58,0,DROP,2025-09-26T01:55:25.712017Z,145,dos_attack,,
41.179.109.88,192.168.5.121,443,TCP,34,0,DROP,2025-09-26T01:59:24.712017Z,117,dos_attack,,
192.168.6.122,192.168.7.10,22,TCP,974,468,ALLOW,2025-09-27T07:07:21.700834Z,5,normal,,
192.168.3.42,192.168.9.50,53,TCP,763,350,ALLOW,2025-09-25T08:19:10.700834Z,5,normal,,
192.168.6.28,192.168.6.214,22,TCP,850,385,ALLOW,2025-09-22T07:32:22.700834Z,3,normal,,
192.168.1.159,192.168.10.198,80,TCP,4214,1715,ALLOW,2025-09-25T13:21:18.700834Z,2,normal,,
137.187.63.42,192.168.2.73,22,SSH,197,62,ALLOW,2025-09-25T01:55:30.716190Z,14,brute_force,,
18.12.170.59,192.168.2.251,810,TCP,47,6,DROP,2025-09-24T02:10:20.713227Z,1,port_scan,,
192.168.7.58,192.168.5.181,22,TCP,621,400,ALLOW,2025-09-22T19:31:52.700834Z,5,normal,,
192.168.6.205,192.168.4.160,443,TCP,659,382,ALLOW,2025-09-26T20:01:01.700834Z,3,normal,,
192.168.8.138,192.168.2.73,53,TCP,406,280,ALLOW,2025-09-25T04:12:01.700834Z,1,normal,,
192.168.10.157,192.168.1.230,443,UDP,4549,827,ALLOW,2025-09-23T13:20:58.700834Z,3,normal,,
192.168.2.34,192.168.8.49,22,TCP,159,99,ALLOW,2025-09-27T00:56:09.700834Z,3,normal,,
192.168.1.176,192.168.2.191,22,TCP,974,181,ALLOW,2025-09-27T10:53:15.700834Z,4,normal,,
18.12.170.59,192.168.2.251,360,TCP,16,4,DROP,2025-09-24T01:52:12.713227Z,1,port_scan,,
18.12.170.59,192.168.2.251,620,TCP,50,50,REJECT,2025-09-24T01:56:04.713227Z,1,port_scan,,
192.168.10.162,192.168.9.70,22,TCP,958,247,ALLOW,2025-09-26T21:02:08.700834Z,4,normal,,
192.168.3.126,192.168.9.224,443,UDP,1938,92,ALLOW,2025-09-26T15:45:12.700834Z,1,normal,,
137.187.63.42,192.168.2.73,22,SSH,92,99,DROP,2025-09-25T02:03:36.716190Z,19,brute_force,,
192.168.10.151,192.168.4.160,80,TCP,2867,1724,ALLOW,2025-09-26T14:19:56.700834Z,4,normal,,
192.168.5.112,91.54.172.69,21,TCP,271,10437,ALLOW,2025-09-28T02:35:19.715521Z,2,data_exfiltration,,
192.168.8.83,192.168.1.140,53,TCP,494,96,ALLOW,2025-09-26T04:26:32.700834Z,2,normal,,
192.168.8.216,192.168.7.77,22,UDP,848,306,ALLOW,2025-09-23T07:47:30.700834Z,2,normal,,
41.203.175.109,192.168.5.71,80,HTTP,684,367,ALLOW,2025-09-27T02:30:16.714579Z,1,sql_injection,"/admin.php?id=1'; INSERT INTO admin VALUES('hacker','pass'); --",curl/7.68.0
192.168.9.203,192.168.4.160,443,TCP,2016,1143,ALLOW,2025-09-25T12:50:32.700834Z,2,normal,,
192.168.7.77,192.168.6.28,443,UDP,904,147,ALLOW,2025-09-24T20:36:45.700834Z,1,normal,,
192.168.8.83,192.168.7.188,443,UDP,925,322,ALLOW,2025-09-24T06:37:33.700834Z,2,normal,,
41.203.175.109,192.168.5.71,80,HTTP,947,317,DROP,2025-09-27T03:33:32.714579Z,9,sql_injection,/login.php?user=admin' or '1'='1,curl/7.68.0
192.168.8.64,192.168.10.252,22,TCP,643,133,ALLOW,2025-09-26T01:10:58.700834Z,4,normal,,
41.179.109.88,192.168.5.121,443,TCP,10,0,DROP,2025-09-26T02:00:24.712017Z,82,dos_attack,,
192.168.2.25,192.168.4.26,443,TCP,460,55,ALLOW,2025-09-28T08:04:52.700834Z,3,normal,,
192.168.9.206,192.168.7.188,22,TCP,694,114,ALLOW,2025-09-24T21:23:02.700834Z,4,normal,,
192.168.5.145,192.168.10.73,80,UDP,1774,667,ALLOW,2025-09-22T17:48:27.700834Z,3,normal,,
192.168.1.176,192.168.10.151,443,TCP,733,438,ALLOW,2025-09-28T11:54:58.700834Z,2,normal,,
192.168.2.204,192.168.7.10,22,TCP,471,142,ALLOW,2025-09-28T10:12:40.700834Z,5,normal,,
18.12.170.59,192.168.2.251,650,TCP,12,36,REJECT,2025-09-24T02:04:43.713227Z,1,port_scan,,
18.12.170.59,192.168.2.251,100,TCP,9,40,DROP,2025-09-24T01:58:36.713227Z,1,port_scan,,
192.168.10.157,192.168.1.176,443,TCP,447,304,ALLOW,2025-09-22T21:22:11.700834Z,3,normal,,
18.12.170.59,192.168.2.251,950,TCP,8,25,ALLOW,2025-09-24T01:57:16.713227Z,1,port_scan,,
192.168.5.112,91.54.172.69,21,TCP,500,1199,ALLOW,2025-09-28T06:11:39.715521Z,3,data_exfiltration,,
192.168.6.135,192.168.2.25,443,TCP,280,450,ALLOW,2025-09-27T00:41:13.700834Z,2,normal,,
192.168.4.24,192.168.9.125,53,TCP,253,265,ALLOW,2025-09-24T00:32:43.700834Z,4,normal,,
41.203.175.109,192.168.5.71,80,HTTP,431,196,DROP,2025-09-27T02:47:28.714579Z,4,sql_injection,/search.php?q='; DROP TABLE users; --,curl/7.68.0
18.12.170.59,192.168.2.251,300,TCP,0,29,DROP,2025-09-24T02:06:56.713227Z,1,port_scan,,
137.187.63.42,192.168.2.73,22,SSH,117,89,DENY,2025-09-25T02:16:24.716190Z,17,brute_force,,
192.168.1.182,192.168.2.73,53,TCP,127,347,ALLOW,2025-09-27T17:51:42.700834Z,3,normal,,
192.168.4.52,192.168.6.234,443,TCP,92,182,ALLOW,2025-09-24T23:08:45.700834Z,3,normal,,
192.168.9.124,192.168.3.126,443,TCP,818,263,ALLOW,2025-09-28T09:49:22.700834Z,5,normal,,
192.168.7.115,192.168.8.218,53,UDP,953,91,ALLOW,2025-09-22T03:46:22.700834Z,1,normal,,
41.203.175.109,192.168.5.71,80,HTTP,578,114,ALLOW,2025-09-27T02:07:28.714579Z,3,sql_injection,/search.php?q='; DROP TABLE users; --,sqlmap/1.4.12
192.168.8.64,192.168.2.34,443,TCP,3726,658,ALLOW,2025-09-26T16:38:39.700834Z,5,normal,,
192.168.1.68,192.168.5.138,443,TCP,520,387,ALLOW,2025-09-23T22:38:07.700834Z,1,normal,,
192.168.7.100,192.168.9.50,53,TCP,868,339,ALLOW,2025-09-24T03:45:47.700834Z,1,normal,,
41.203.175.109,192.168.5.71,80,HTTP,292,193,ALLOW,2025-09-27T02:16:34.714579Z,3,sql_injection,/product.php?id=1 UNION SELECT password FROM users,sqlmap/1.4.12
18.12.170.59,192.168.2.251,910,TCP,48,8,ALLOW,2025-09-24T01:52:33.713227Z,1,port_scan,,
18.12.170.59,192.168.2.251,160,TCP,25,24,ALLOW,2025-09-24T01:57:01.713227Z,1,port_scan,,
192.168.2.31,192.168.9.206,443,UDP,3186,365,ALLOW,2025-09-23T16:01:18.700834Z,4,normal,,
137.187.63.42,192.168.2.73,22,SSH,88,92,ALLOW,2025-09-25T02:22:55.716190Z,43,brute_force,,
192.168.5.71,192.168.6.214,443,UDP,1909,498,ALLOW,2025-09-25T15:47:13.700834Z,4,normal,,
192.168.10.73,192.168.4.11,443,TCP,664,82,ALLOW,2025-09-23T04:08:16.700834Z,5,normal,,
192.168.5.112,91.54.172.69,21,TCP,342,52687,ALLOW,2025-09-28T04:36:04.715521Z,3,data_exfiltration,,
192.168.10.73,192.168.3.139,22,TCP,853,201,ALLOW,2025-09-25T04:56:50.700834Z,2,normal,,
192.168.7.58,192.168.3.139,443,TCP,982,1600,ALLOW,2025-09-24T09:21:40.700834Z,4,normal,,
192.168.7.196,192.168.6.15,22,TCP,755,324,ALLOW,2025-09-27T00:50:25.700834Z,2,normal,,
18.12.170.59,192.168.2.251,780,TCP,40,49,DROP,2025-09-24T02:10:08.713227Z,1,port_scan,,
192.168.10.198,192.168.9.245,443,TCP,836,275,ALLOW,2025-09-23T00:13:51.700834Z,1,normal,,
192.168.7.115,192.168.2.227,80,TCP,1124,1514,ALLOW,2025-09-25T12:01:22.700834Z,2,normal,,
192.168.5.71,192.168.9.203,443,TCP,174,122,ALLOW,2025-09-28T06:02:13.700834Z,1,normal,,
137.187.63.42,192.168.2.73,22,SSH,60,36,ALLOW,2025-09-25T02:03:10.716190Z,32,brute_force,,
192.168.9.25,192.168.8.72,443,TCP,874,433,ALLOW,2025-09-27T22:31:08.700834Z,4,normal,,
192.168.7.196,192.168.8.231,443,TCP,811,461,ALLOW,2025-09-27T11:43:58.700834Z,2,normal,,
41.179.109.88,192.168.5.121,443,TCP,12,0,DROP,2025-09-26T02:05:53.712017Z,55,dos_attack,,
192.168.7.77,192.168.9.179,22,TCP,169,273,ALLOW,2025-09-27T03:21:04.700834Z,4,normal,,
192.168.6.122,192.168.10.118,80,TCP,3702,1002,ALLOW,2025-09-22T14:50:48.700834Z,5,normal,,
192.168.9.179,192.168.4.24,22,TCP,98,196,ALLOW,2025-09-28T19:45:15.700834Z,5,normal,,
192.168.4.24,192.168.9.245,443,TCP,820,376,ALLOW,2025-09-22T19:48:17.700834Z,3,normal,,
18.12.170.59,192.168.2.251,350,TCP,27,21,DROP,2025-09-24T01:53:16.713227Z,1,port_scan,,
192.168.10.198,192.168.2.204,443,TCP,973,24,ALLOW,2025-09-27T20:39:00.700834Z,5,normal,,
192.168.5.112,192.168.4.85,53,UDP,360,143,ALLOW,2025-09-23T18:23:23.700834Z,4,normal,,
41.179.109.88,192.168.5.121,443,TCP,27,0,DROP,2025-09-26T01:57:58.712017Z,79,dos_attack,,
192.168.1.159,192.168.7.100,22,TCP,545,350,ALLOW,2025-09-24T06:35:57.700834Z,5,normal,,
192.168.6.234,192.168.9.35,22,TCP,929,94,ALLOW,2025-09-22T02:40:37.700834Z,2,normal,,
192.168.8.216,192.168.8.73,80,UDP,2796,1129,ALLOW,2025-09-23T13:23:34.700834Z,2,normal,,
192.168.8.64,192.168.1.33,443,UDP,387,137,ALLOW,2025-09-23T22:14:38.700834Z,4,normal,,
41.203.175.109,192.168.5.71,80,HTTP,918,153,DROP,2025-09-27T02:41:34.714579Z,1,sql_injection,/search.php?q='; DROP TABLE users; --,Python-urllib/3.8
192.168.1.33,192.168.3.118,53,TCP,934,236,ALLOW,2025-09-27T16:06:02.700834Z,3,normal,,
192.168.6.24,192.168.9.52,22,TCP,205,231,ALLOW,2025-09-25T21:13:14.700834Z,5,normal,,
137.187.63.42,192.168.2.73,22,SSH,187,94,DROP,2025-09-25T03:10:34.716190Z,16,brute_force,,
192.168.9.224,192.168.3.139,443,TCP,934,1736,ALLOW,2025-09-23T10:09:43.700834Z,2,normal,,
137.187.63.42,192.168.2.73,22,SSH,81,89,ALLOW,2025-09-25T02:16:30.716190Z,49,brute_force,,
192.168.6.214,192.168.5.225,22,TCP,953,301,ALLOW,2025-09-28T03:09:49.700834Z,3,normal,,
18.12.170.59,192.168.2.251,1433,TCP,8,14,ALLOW,2025-09-24T01:57:52.713227Z,1,port_scan,,
41.179.109.88,192.168.5.121,443,TCP,58,0,DROP,2025-09-26T01:56:58.712017Z,141,dos_attack,,
18.12.170.59,192.168.2.251,900,TCP,35,1,REJECT,2025-09-24T01:52:32.713227Z,1,port_scan,,
192.168.10.151,192.168.7.134,80,TCP,4118,136,ALLOW,2025-09-25T14:09:48.700834Z,4,normal,,
192.168.5.112,91.54.172.69,22,TCP,113,78390,ALLOW,2025-09-28T03:08:04.715521Z,1,data_exfiltration,,
192.168.5.112,91.54.172.69,22,TCP,487,62948,ALLOW,2025-09-28T02:22:29.715521Z,2,data_exfiltration,,
41.179.109.88,192.168.5.121,443,TCP,25,0,DROP,2025-09-26T02:08:34.712017Z,140,dos_attack,,
192.168.3.139,192.168.4.192,443,TCP,3842,1743,ALLOW,2025-09-23T09:41:30.700834Z,1,normal,,
192.168.4.49,192.168.4.52,443,TCP,85,57,ALLOW,2025-09-25T05:17:21.700834Z,4,normal,,
18.12.170.59,192.168.2.251,650,TCP,18,4,ALLOW,2025-09-24T01:56:40.713227Z,1,port_scan,,
192.168.5.112,91.54.172.69,443,TCP,149,89576,ALLOW,2025-09-28T02:17:05.715521Z,2,data_exfiltration,,
192.168.6.135,192.168.1.140,22,UDP,518,272,ALLOW,2025-09-28T21:12:42.700834Z,1,normal,,
192.168.2.204,192.168.9.179,443,TCP,674,221,ALLOW,2025-09-28T01:04:31.700834Z,1,normal,,
192.168.5.145,192.168.2.25,443,TCP,3860,566,ALLOW,2025-09-26T15:30:27.700834Z,5,normal,,
192.168.8.72,192.168.6.214,53,UDP,658,471,ALLOW,2025-09-28T12:42:53.700834Z,3,normal,,
192.168.10.118,192.168.1.140,22,TCP,834,163,ALLOW,2025-09-26T00:57:04.700834Z,4,normal,,
192.168.2.25,192.168.5.181,53,TCP,687,144,ALLOW,2025-09-25T18:22:16.700834Z,2,normal,,
192.168.6.15,192.168.1.33,53,UDP,395,424,ALLOW,2025-09-22T05:57:12.700834Z,2,normal,,
192.168.1.68,192.168.4.160,443,TCP,251,104,ALLOW,2025-09-22T23:32:00.700834Z,1,normal,,
137.187.63.42,192.168.2.73,22,SSH,91,44,DROP,2025-09-25T02:43:16.716190Z,48,brute_force,,
192.168.8.231,192.168.4.11,80,TCP,3541,1140,ALLOW,2025-09-22T15:31:50.700834Z,4,normal,,
137.187.63.42,192.168.2.73,22,SSH,170,25,ALLOW,2025-09-25T01:51:32.716190Z,34,brute_force,,
18.12.170.59,192.168.2.251,250,TCP,39,17,REJECT,2025-09-24T01:54:57.713227Z,1,port_scan,,
192.168.2.25,208.67.222.222,80,UDP,4788,805,ALLOW,2025-09-26T10:58:11.700834Z,5,normal,,
18.12.170.59,192.168.2.251,500,TCP,37,1,ALLOW,2025-09-24T01:53:37.713227Z,1,port_scan,,
192.168.1.159,192.168.4.24,22,TCP,740,254,ALLOW,2025-09-29T01:47:14.700834Z,1,normal,,
192.168.6.122,192.168.8.83,53,TCP,496,464,ALLOW,2025-09-27T21:48:09.700834Z,1,normal,,
192.168.8.83,192.168.9.25,443,TCP,660,530,ALLOW,2025-09-22T12:18:26.700834Z,2,normal,,
192.168.5.112,91.54.172.69,21,TCP,325,6059,ALLOW,2025-09-28T08:18:31.715521Z,1,data_exfiltration,,
192.168.2.31,192.168.2.204,53,UDP,193,248,ALLOW,2025-09-24T02:09:23.700834Z,4,normal,,
192.168.7.188,192.168.1.159,53,TCP,443,178,ALLOW,2025-09-25T03:32:15.700834Z,1,normal,,
192.168.6.24,192.168.2.73,443,TCP,4483,67,ALLOW,2025-09-25T13:22:36.700834Z,3,normal,,
192.168.3.118,192.168.4.49,53,UDP,595,465,ALLOW,2025-09-28T02:02:16.700834Z,4,normal,,
18.12.170.59,192.168.2.251,610,TCP,7,31,DROP,2025-09-24T01:53:48.713227Z,1,port_scan,,
41.203.175.109,192.168.5.71,80,HTTP,922,246,ALLOW,2025-09-27T02:43:46.714579Z,5,sql_injection,/search.php?q='; DROP TABLE users; --,curl/7.68.0
192.168.6.234,192.168.3.42,53,TCP,207,42,ALLOW,2025-09-28T13:15:39.700834Z,5,normal,,
192.168.8.64,192.168.2.31,443,UDP,180,313,ALLOW,2025-09-25T00:49:30.700834Z,5,normal,,
137.187.63.42,192.168.2.73,22,SSH,105,38,DROP,2025-09-25T02:53:59.716190Z,28,brute_force,,
192.168.7.10,192.168.2.73,22,TCP,628,207,ALLOW,2025-09-28T14:00:10.700834Z,2,normal,,
192.168.2.241,192.168.9.25,443,TCP,4075,1664,ALLOW,2025-09-23T15:53:21.700834Z,1,normal,,
192.168.8.138,192.168.7.188,22,TCP,637,227,ALLOW,2025-09-29T01:33:11.700834Z,3,normal,,
192.168.4.192,192.168.2.232,443,UDP,4907,540,ALLOW,2025-09-23T09:39:56.700834Z,2,normal,,
192.168.4.85,192.168.6.28,80,TCP,179,1073,ALLOW,2025-09-23T15:14:04.700834Z,2,normal,,
18.12.170.59,192.168.2.251,300,TCP,24,30,ALLOW,2025-09-24T01:59:56.713227Z,1,port_scan,,
137.187.63.42,192.168.2.73,22,SSH,89,29,ALLOW,2025-09-25T02:25:54.716190Z,31,brute_force,,
192.168.8.64,192.168.9.25,443,TCP,569,132,ALLOW,2025-09-27T09:27:36.700834Z,5,normal,,
192.168.7.196,192.168.4.113,80,UDP,4599,1919,ALLOW,2025-09-26T14:40:38.700834Z,2,normal,,
18.12.170.59,192.168.2.251,740,TCP,42,8,ALLOW,2025-09-24T02:14:34.713227Z,1,port_scan,,
137.187.63.42,192.168.2.73,22,SSH,177,31,DROP,2025-09-25T02:30:04.716190Z,26,brute_force,,
192.168.5.112,91.54.172.69,22,TCP,196,64823,ALLOW,2025-09-28T03:00:12.715521Z,3,data_exfiltration,,
192.168.7.188,192.168.6.15,443,TCP,261,107,ALLOW,2025-09-23T06:06:02.700834Z,4,normal,,
192.168.5.112,192.168.4.192,443,TCP,730,789,ALLOW,2025-09-25T17:09:37.700834Z,5,normal,,
192.168.2.191,192.168.8.138,53,TCP,760,346,ALLOW,2025-09-28T04:37:14.700834Z,3,normal,,
192.168.6.214,192.168.8.138,22,TCP,658,334,ALLOW,2025-09-23T04:58:11.700834Z,4,normal,,
137.187.63.42,192.168.2.73,22,SSH,125,98,ALLOW,2025-09-25T02:10:40.716190Z,15,brute_force,,
192.168.7.134,192.168.3.42,443,TCP,385,284,ALLOW,2025-09-25T01:58:46.700834Z,4,normal,,
137.187.63.42,192.168.2.73,22,SSH,108,64,ALLOW,2025-09-25T02:12:32.716190Z,45,brute_force,,
192.168.2.251,192.168.2.73,443,TCP,810,30,ALLOW,2025-09-22T04:34:42.700834Z,2,normal,,
192.168.9.50,192.168.5.181,22,TCP,233,184,ALLOW,2025-09-28T08:59:22.700834Z,4,normal,,
41.179.109.88,192.168.5.121,443,TCP,1,0,DROP,2025-09-26T01:52:34.712017Z,122,dos_attack,,
18.12.170.59,192.168.2.251,790,TCP,2,31,ALLOW,2025-09-24T01:54:06.713227Z,1,port_scan,,
192.168.3.139,192.168.4.49,443,TCP,3995,605,ALLOW,2025-09-24T15:25:50.700834Z,5,normal,,
41.179.109.88,192.168.5.121,443,TCP,15,0,DROP,2025-09-26T01:53:04.712017Z,174,dos_attack,,
137.187.63.42,192.168.2.73,22,SSH,61,89,DENY,2025-09-25T02:08:46.716190Z,48,brute_force,,
192.168.3.118,192.168.4.85,53,TCP,154,23,ALLOW,2025-09-26T21:31:48.700834Z,5,normal,,
192.168.2.227,192.168.1.254,443,TCP,1272,823,ALLOW,2025-09-23T17:59:19.700834Z,3,normal,,
41.179.109.88,192.168.5.121,443,TCP,64,0,DROP,2025-09-26T01:52:25.712017Z,183,dos_attack,,
192.168.3.118,192.168.1.71,443,TCP,329,250,ALLOW,2025-09-23T02:16:53.700834Z,1,normal,,
41.179.109.88,192.168.5.121,443,TCP,27,0,DROP,2025-09-26T01:52:48.712017Z,86,dos_attack,,
41.179.109.88,192.168.5.121,443,TCP,6,0,ALLOW,2025-09-26T01:54:22.712017Z,159,dos_attack,,
192.168.6.24,192.168.7.10,443,TCP,774,307,ALLOW,2025-09-25T22:15:59.700834Z,2,normal,,
192.168.9.52,192.168.3.81,53,TCP,450,1419,ALLOW,2025-09-26T13:27:24.700834Z,4,normal,,
18.12.170.59,192.168.2.251,210,TCP,7,14,DROP,2025-09-24T01:51:42.713227Z,1,port_scan,,
18.12.170.59,192.168.2.251,440,TCP,34,16,ALLOW,2025-09-24T01:53:10.713227Z,1,port_scan,,
41.179.109.88,192.168.5.121,443,TCP,39,0,DROP,2025-09-26T01:57:59.712017Z,81,dos_attack,,
192.168.9.124,208.67.222.222,53,TCP,893,174,ALLOW,2025-09-23T00:10:49.700834Z,4,normal,,
192.168.10.198,192.168.6.38,53,UDP,245,29,ALLOW,2025-09-25T23:42:08.700834Z,2,normal,,
18.12.170.59,192.168.2.251,690,TCP,30,16,ALLOW,2025-09-24T02:05:24.713227Z,1,port_scan,,
192.168.3.27,192.168.9.203,443,TCP,1735,530,ALLOW,2025-09-24T09:14:29.700834Z,2,normal,,
18.12.170.59,192.168.2.251,820,TCP,27,1,ALLOW,2025-09-24T01:55:54.713227Z,1,port_scan,,
41.179.109.88,192.168.5.121,443,TCP,10,0,ALLOW,2025-09-26T02:01:14.712017Z,55,dos_attack,,
192.168.5.112,91.54.172.69,22,TCP,187,35153,ALLOW,2025-09-28T04:34:14.715521Z,1,data_exfiltration,,
41.203.175.109,192.168.5.71,80,HTTP,245,241,ALLOW,2025-09-27T02:46:10.714579Z,9,sql_injection,"/admin.php?id=1'; INSERT INTO admin VALUES('hacker','pass'); --",Mozilla/5.0 (compatible; sqlmap)
41.203.175.109,192.168.5.71,80,HTTP,713,443,ALLOW,2025-09-27T02:54:58.714579Z,10,sql_injection,"/admin.php?id=1'; INSERT INTO admin VALUES('hacker','pass'); --",Mozilla/5.0 (compatible; sqlmap)
192.168.3.139,192.168.8.49,22,TCP,952,43,ALLOW,2025-09-27T18:39:13.700834Z,1,normal,,
137.187.63.42,192.168.2.73,22,SSH,115,63,DENY,2025-09-25T02:04:44.716190Z,45,brute_force,,
41.179.109.88,192.168.5.121,443,TCP,18,0,ALLOW,2025-09-26T01:53:10.712017Z,120,dos_attack,,
41.203.175.109,192.168.5.71,80,HTTP,550,458,DROP,2025-09-27T02:28:38.714579Z,2,sql_injection,/search.php?q='; DROP TABLE users; --,curl/7.68.0
192.168.9.35,192.168.2.241,443,UDP,95,200,ALLOW,2025-09-26T02:42:15.700834Z,4,normal,,
192.168.6.15,192.168.10.118,22,TCP,198,437,ALLOW,2025-09-27T16:00:41.700834Z,4,normal,,
192.168.6.135,192.168.2.227,53,TCP,482,278,ALLOW,2025-09-25T18:22:50.700834Z,3,normal,,
192.168.2.73,192.168.9.165,443,TCP,3194,305,ALLOW,2025-09-25T15:13:48.700834Z,1,normal,,
192.168.1.68,192.168.7.77,443,TCP,730,491,ALLOW,2025-09-27T07:28:32.700834Z,1,normal,,
192.168.8.218,192.168.2.232,443,TCP,318,379,ALLOW,2025-09-27T16:32:31.700834Z,5,normal,,
41.179.109.88,192.168.5.121,443,TCP,59,0,DROP,2025-09-26T02:02:59.712017Z,176,dos_attack,,
192.168.2.191,192.168.8.138,443,TCP,4513,394,ALLOW,2025-09-25T11:43:23.700834Z,3,normal,,
137.187.63.42,192.168.2.73,22,SSH,196,100,DENY,2025-09-25T02:57:22.716190Z,23,brute_force,,
192.168.3.148,192.168.1.163,53,UDP,4886,836,ALLOW,2025-09-25T10:13:35.700834Z,5,normal,,
192.168.1.159,192.168.10.27,22,TCP,3481,1283,ALLOW,2025-09-23T16:41:54.700834Z,5,normal,,
41.203.175.109,192.168.5.71,80,HTTP,491,318,DROP,2025-09-27T02:19:52.714579Z,6,sql_injection,"/admin.php?id=1'; INSERT INTO admin VALUES('hacker','pass'); --",curl/7.68.0
